user_id,job_id,shortlisted
5844,343,0
4729,383,0
8562,430,0
5435,494,1
3452,86,1
1597,498,1
5304,169,0
2829,329,0
4831,89,1
9042,431,1
4710,262,0
9064,462,0
503,305,1
3645,218,0
3371,244,1
8867,475,1
2307,126,0
7068,391,1
135,49,0
7882,269,0
4292,160,1
6337,1,1
7822,393,0
7891,392,1
1482,91,1
1848,300,1
3898,169,0
9817,291,1
9852,308,0
7340,393,0
851,17,0
7816,110,0
3697,308,0
1166,220,1
3712,9,0
4562,165,0
8082,398,0
4368,70,0
1498,475,1
4254,132,0
1064,303,0
2221,322,1
2994,319,0
3083,338,1
1141,307,0
603,156,0
1245,192,0
7934,167,0
5500,32,1
4743,235,0
8193,78,0
5881,195,1
3167,250,0
5743,22,0
8263,39,1
8076,48,1
837,485,1
8063,7,1
3879,301,1
2385,224,1
9844,141,0
1091,252,1
3155,413,0
324,366,1
8077,413,1
4511,205,0
1888,112,0
1709,268,1
1930,496,1
2012,277,1
8262,330,1
4194,170,0
5032,304,0
829,176,1
4505,156,1
4461,435,1
1225,7,1
8191,76,1
7810,315,0
2859,422,0
2632,451,0
11,177,1
9865,446,0
9905,266,1
847,181,0
1196,274,0
4293,104,0
3103,81,0
3873,422,0
9177,156,0
6007,226,1
9593,468,1
2829,386,1
789,299,0
1267,70,1
5714,113,1
9249,197,0
2228,454,0
9465,110,1
4164,457,1
4083,93,1
5713,235,0
9225,380,1
9360,404,0
8096,431,0
8799,75,1
9896,1,0
1861,280,1
3281,196,0
3557,148,0
9680,50,1
8409,129,0
9608,17,0
8926,254,0
4961,142,0
6584,280,1
4866,474,0
5669,435,0
6500,181,0
5957,498,0
2587,3,0
102,182,1
518,417,0
8010,304,0
838,271,1
9416,384,1
8497,63,0
6521,82,1
2431,202,0
9213,97,1
1849,119,1
272,499,1
1169,180,0
1835,260,1
6596,293,0
7493,419,1
7431,496,1
2000,300,0
4441,149,0
8360,426,0
9369,72,0
7686,121,0
3625,309,0
5567,498,0
3061,291,0
4541,60,0
6102,220,1
4373,362,0
6768,56,0
5244,157,1
8984,127,1
7244,247,0
684,454,0
8347,451,0
9584,373,0
2034,202,0
5232,86,0
5742,22,1
4726,347,0
7587,228,0
763,442,0
9021,98,0
3162,136,1
8828,454,1
1334,185,0
3033,202,1
2202,251,1
3851,454,0
4116,468,0
2937,36,1
467,453,1
330,351,1
4188,241,0
4188,460,1
9848,397,0
6215,92,1
9470,346,0
1787,127,1
8332,115,0
9792,150,0
9228,183,0
257,153,0
5178,280,0
3016,485,1
8268,451,0
2885,200,0
8776,488,0
3901,169,0
3462,291,1
432,110,0
7953,7,1
2922,52,1
9664,453,0
690,475,0
4850,436,1
5987,6,0
1783,200,0
4652,345,0
52,460,1
9758,413,1
8934,310,1
3429,72,0
4294,94,1
668,325,0
2332,277,1
47,444,1
7651,355,0
9648,192,1
7771,52,1
6483,183,1
9893,475,0
2534,217,1
2010,46,0
5351,140,0
8542,419,1
7282,99,1
7487,200,1
5601,329,1
3321,423,0
9386,333,0
8959,323,0
4808,322,0
2611,415,1
7645,147,1
6752,46,0
2087,359,0
3997,475,1
567,82,1
8341,290,0
4797,469,1
3697,164,1
1013,350,1
1488,142,0
8069,73,0
9489,137,0
9138,206,1
3668,46,0
891,399,1
8061,227,0
1999,245,0
7435,116,0
595,288,0
649,42,0
1834,460,0
878,38,1
9641,57,1
1204,346,1
7301,330,1
4813,219,0
4755,372,1
3426,68,0
4526,237,0
2437,485,1
5093,160,1
314,54,1
7191,230,0
8612,443,0
9475,42,1
3205,171,0
3329,452,1
5419,269,0
360,410,0
8939,94,0
6742,428,0
3311,91,1
6084,67,0
681,121,0
7494,457,1
1320,375,1
3821,331,1
9251,342,0
8078,106,1
3732,484,0
2431,217,1
9908,304,0
741,179,0
9514,283,0
5607,473,0
2159,424,0
2612,24,1
6677,247,1
7466,377,1
4853,290,0
6718,242,0
8972,388,0
8153,55,1
3519,61,1
2763,216,1
8105,111,1
1036,159,0
5055,451,0
378,447,0
9714,446,0
1697,161,1
3110,356,0
9290,138,1
6044,0,0
8374,356,1
9978,19,0
7211,319,0
2993,37,1
24,249,1
6265,340,0
3785,277,1
6453,421,0
5156,26,1
3700,105,1
689,32,0
2175,198,1
670,397,0
5821,106,0
4752,454,0
1827,413,1
3171,406,0
581,358,0
1859,297,0
5266,404,0
3138,28,0
2769,224,1
2691,55,0
6541,89,1
3355,57,1
6541,121,0
6325,11,0
8088,245,0
4272,360,1
1812,396,0
7114,344,1
2919,214,0
5869,339,0
4672,254,0
6920,455,0
4933,337,0
7033,118,1
3340,250,1
6056,12,1
3903,470,0
2883,408,1
2311,15,0
2756,115,1
276,373,1
6906,433,1
8528,402,0
2255,488,1
8571,174,1
3019,27,0
6492,312,0
7859,187,1
7852,133,1
6842,303,1
9926,43,1
9198,224,0
1244,245,1
7993,222,1
4811,378,0
463,424,1
1603,488,0
1348,358,0
2902,247,1
6678,426,0
1823,390,0
4790,463,1
7338,439,0
1820,201,1
1110,89,0
6133,115,0
236,70,0
6390,310,0
7099,369,0
4020,86,0
2745,46,0
3857,92,0
6985,258,1
5803,114,0
3317,421,0
7109,18,0
6924,275,0
4954,287,0
7485,223,0
7620,63,0
6770,290,0
4789,161,0
6896,244,1
6660,42,1
5284,316,1
2755,125,1
8461,144,0
8968,442,0
4006,97,0
4734,373,1
8335,273,1
6457,476,0
3431,50,0
1064,209,1
479,297,0
481,380,0
3244,84,0
2647,305,1
2129,197,0
9972,457,0
7783,37,0
7128,103,1
8936,442,0
8584,260,0
6910,75,1
5290,498,1
6153,249,1
6566,72,0
1288,279,1
212,89,1
3391,421,0
6020,398,0
4506,59,0
4972,124,0
6296,260,1
7364,400,0
1638,342,0
5261,39,0
3822,43,1
1884,277,1
1102,356,1
2475,101,0
1739,118,1
7655,169,1
5103,82,0
9813,443,1
1538,239,0
1846,281,0
1857,358,1
7878,79,1
7314,492,1
9566,483,0
9317,128,0
4896,311,0
8658,107,0
4295,490,0
7246,268,0
140,381,1
3502,196,1
884,218,1
9348,113,1
6876,316,1
2949,264,0
4776,239,0
7162,414,0
2798,125,1
9766,114,1
4157,38,1
522,100,1
2049,38,0
2825,363,1
3480,330,0
3896,454,0
5496,459,0
4009,362,1
7994,330,0
1624,270,0
9082,281,1
5931,418,0
6245,293,0
3517,115,0
4980,460,1
9360,152,1
5468,270,0
1509,312,1
9271,161,1
4823,175,0
8254,413,1
3018,179,1
6328,224,0
7969,333,0
2325,57,1
8788,460,1
1675,318,0
8059,457,1
1290,315,1
4421,156,1
4347,418,0
4611,384,1
7198,128,0
8904,132,0
3960,52,0
6616,292,1
6579,438,0
3830,189,1
8429,273,0
1969,239,1
7141,22,0
4219,363,1
6383,58,0
9040,225,1
4418,466,1
4006,436,1
4916,399,0
6562,263,0
2873,418,1
3630,438,0
8421,392,1
4331,171,1
1048,72,0
8024,312,1
1017,329,0
4025,95,1
5346,66,1
526,52,0
3077,258,1
3133,24,1
3671,21,0
9446,108,1
6253,42,0
7457,192,0
4506,155,0
7363,46,1
9813,287,0
2815,154,1
5238,235,0
90,25,0
6848,370,0
2831,111,0
1948,37,1
86,473,1
1339,475,1
1378,53,0
1207,259,0
8564,279,1
8142,367,0
224,98,0
7341,373,0
6679,302,0
7490,22,1
3905,64,1
8568,482,0
7243,401,0
3079,483,1
4275,482,1
5487,411,1
9617,30,0
5083,42,1
9677,163,0
2079,403,0
2607,129,0
6830,478,1
964,201,1
1542,387,1
7628,387,1
1750,126,0
280,480,0
6026,419,1
2050,196,0
4762,287,0
9831,369,0
4282,363,1
5471,202,0
5920,401,0
8071,473,1
5243,254,0
783,294,1
5138,465,0
8687,139,0
194,444,1
3726,110,0
8833,413,0
9960,103,1
2938,281,1
4911,293,0
2342,180,0
7724,93,1
9948,494,0
3823,134,1
8285,347,1
1962,250,0
2616,100,1
3505,325,0
2789,197,0
3406,328,0
542,61,1
544,135,0
3869,25,0
9967,260,1
5864,381,0
1962,400,1
5032,159,1
3072,242,1
5158,181,0
1554,59,0
3693,342,0
1084,484,0
7478,16,1
5551,311,0
4749,400,0
3366,194,1
2551,82,0
8148,189,0
3575,300,0
5082,84,0
3081,198,1
1445,28,0
1458,375,1
5452,484,1
2534,219,0
416,80,1
8426,325,0
2880,498,1
4198,292,1
5591,68,1
9678,138,0
4123,437,0
6554,156,1
5116,419,1
5405,332,1
2308,386,1
